file,BL_P,BL_N,BL_NET,BL_SENTIMENT,M_P,M_N,M_NET,M_SENTIMENT,M_UNCERTAINTY,M_LITIGIOUS,M_CONSTRAINING,M_SUPERFLUOUS,M_INTERESTING,M_MODAL
1119-OLIN CORP.txt,3401,2973,428,POSITIVE,1303,1773,-470,NEGATIVE,689,728,649,3,175,458
1120-OLYMPIC STEEL INC.txt,3494,3042,452,POSITIVE,1333,1808,-475,NEGATIVE,703,743,666,3,179,470
1121-OMNOVA SOLUTIONS INC.txt,3626,3157,469,POSITIVE,1388,1879,-491,NEGATIVE,733,768,689,3,185,485
1125-ORBCOMM Inc..txt,3735,3248,487,POSITIVE,1420,1940,-520,NEGATIVE,753,790,716,3,187,496
1130-Oasis Petroleum Inc..txt,3849,3340,509,POSITIVE,1471,1994,-523,NEGATIVE,772,817,739,3,194,512
1137-Otter Tail Corp.txt,3937,3414,523,POSITIVE,1500,2035,-535,NEGATIVE,792,827,759,3,199,525
1138-Owens Corning.txt,4054,3506,548,POSITIVE,1543,2104,-561,NEGATIVE,812,853,783,4,201,539
1139-PACCAR INC.txt,4135,3579,556,POSITIVE,1585,2154,-569,NEGATIVE,823,871,795,5,205,548
1143-PACIFIC GAS _ ELECTRIC Co.txt,4243,3685,558,POSITIVE,1619,2238,-619,NEGATIVE,843,898,822,5,211,561
1145-PAM TRANSPORTATION SERVICES INC.txt,4319,3746,573,POSITIVE,1643,2270,-627,NEGATIVE,854,910,839,5,211,571
1148-PARAGON OFFSHORE PLC.txt,4416,3845,571,POSITIVE,1681,2325,-644,NEGATIVE,872,938,865,5,216,584
1151-PARKER DRILLING CO  DE.txt,4539,3968,571,POSITIVE,1732,2406,-674,NEGATIVE,900,965,892,7,222,598
1157-PEABODY ENERGY CORP.txt,4676,4100,576,POSITIVE,1790,2501,-711,NEGATIVE,932,1001,923,8,234,615
1158-PEAPACK GLADSTONE FINANCIAL CORP.txt,4776,4182,594,POSITIVE,1824,2536,-712,NEGATIVE,943,1017,940,8,243,626
1159-PENNS WOODS BANCORP INC.txt,4835,4248,587,POSITIVE,1846,2566,-720,NEGATIVE,951,1031,953,8,252,636
1161-PENTAIR plc.txt,4941,4338,603,POSITIVE,1888,2629,-741,NEGATIVE,971,1049,978,8,258,650
1164-PEOPLES FINANCIAL CORP  MS.txt,5004,4396,608,POSITIVE,1912,2656,-744,NEGATIVE,981,1059,986,8,264,659
1168-PFIZER INC.txt,5144,4516,628,POSITIVE,1972,2732,-760,NEGATIVE,1014,1083,1011,9,271,679
1172-PIEDMONT NATURAL GAS CO INC.txt,5277,4614,663,POSITIVE,2022,2781,-759,NEGATIVE,1033,1102,1036,10,278,694
1182-PITNEY BOWES INC  DE.txt,5417,4732,685,POSITIVE,2078,2863,-785,NEGATIVE,1062,1139,1064,12,281,712
1184-PLUM CREEK TIMBER CO INC.txt,5545,4839,706,POSITIVE,2126,2943,-817,NEGATIVE,1085,1162,1090,12,286,731
1185-PLY GEM HOLDINGS INC.txt,5616,4905,711,POSITIVE,2157,2975,-818,NEGATIVE,1096,1174,1099,12,289,739
1186-PMC SIERRA INC.txt,5736,5002,734,POSITIVE,2204,3042,-838,NEGATIVE,1116,1202,1123,12,296,756
1190-POOL CORP.txt,5847,5091,756,POSITIVE,2251,3087,-836,NEGATIVE,1148,1212,1142,12,300,775
1191-POPULAR INC.txt,5999,5224,775,POSITIVE,2323,3168,-845,NEGATIVE,1173,1254,1174,13,311,790
1192-PORTLAND GENERAL ELECTRIC CO  OR.txt,6093,5312,781,POSITIVE,2354,3218,-864,NEGATIVE,1192,1273,1197,13,316,804
1192-POWELL INDUSTRIES INC.txt,6178,5383,795,POSITIVE,2384,3255,-871,NEGATIVE,1207,1286,1219,13,319,818
1201-PPG INDUSTRIES INC.txt,6291,5483,808,POSITIVE,2434,3320,-886,NEGATIVE,1234,1312,1241,13,324,831
1203-PREFERRED APARTMENT COMMUNITIES INC.txt,6343,5545,798,POSITIVE,2451,3344,-893,NEGATIVE,1247,1323,1255,13,324,839
1204-PREFORMED LINE PRODUCTS CO.txt,6429,5604,825,POSITIVE,2479,3366,-887,NEGATIVE,1267,1335,1271,13,326,848
1206-PRICE T ROWE GROUP INC.txt,6550,5685,865,POSITIVE,2532,3400,-868,NEGATIVE,1288,1347,1289,13,332,864
1210-PROGRESSIVE CORP OH.txt,6651,5785,866,POSITIVE,2573,3471,-898,NEGATIVE,1320,1370,1315,14,338,885
1214-PRUDENTIAL FINANCIAL INC.txt,6803,5921,882,POSITIVE,2630,3557,-927,NEGATIVE,1354,1401,1338,16,346,907
1217-PTC INC..txt,6893,6014,879,POSITIVE,2664,3609,-945,NEGATIVE,1377,1423,1354,16,352,920
1218-PUBLIC SERVICE ENTERPRISE GROUP INC.txt,7032,6130,902,POSITIVE,2726,3678,-952,NEGATIVE,1403,1452,1379,16,357,942
1219-PUBLIX SUPER MARKETS INC.txt,7088,6179,909,POSITIVE,2744,3707,-963,NEGATIVE,1417,1462,1389,16,359,953
1220-PULTEGROUP INC MI.txt,7204,6265,939,POSITIVE,2790,3752,-962,NEGATIVE,1441,1493,1411,16,363,968
"1231-Pathdiner Bancorp, Inc..txt",7204,6265,939,POSITIVE,2790,3752,-962,NEGATIVE,1441,1493,1411,16,363,968
"1233-People's United Financial, Inc..txt",7303,6358,945,POSITIVE,2828,3799,-971,NEGATIVE,1477,1509,1427,16,369,989
1238-Physicians Realty Trust.txt,7303,6358,945,POSITIVE,2828,3799,-971,NEGATIVE,1477,1509,1427,16,369,989
"1239-Piedmont Office Realty Trust, Inc..txt",7417,6448,969,POSITIVE,2870,3845,-975,NEGATIVE,1494,1524,1452,17,376,1003
1262-QUAKER CHENICAL CORP.txt,7539,6576,963,POSITIVE,2919,3931,-1012,NEGATIVE,1524,1566,1474,17,386,1021
1263 - QUALCOMM INC DE.txt,7650,6675,975,POSITIVE,2965,3994,-1029,NEGATIVE,1553,1593,1498,17,390,1039
1264 - QUICKLOGIC CORPORATION.txt,7732,6746,986,POSITIVE,2993,4029,-1036,NEGATIVE,1565,1612,1518,17,391,1048
1266 - Quanex Building Products CORP.txt,7856,6881,975,POSITIVE,3041,4132,-1091,NEGATIVE,1598,1662,1547,17,397,1067
1269 - RAMCO GERSHENSON PROPERTIES TRUST.txt,7960,6974,986,POSITIVE,3081,4185,-1104,NEGATIVE,1618,1693,1574,17,406,1083
127-AT_T INC..txt,8064,7075,989,POSITIVE,3112,4247,-1135,NEGATIVE,1631,1719,1599,17,412,1092
1270 - RAND CAPITAL CORP.txt,8141,7136,1005,POSITIVE,3138,4287,-1149,NEGATIVE,1651,1732,1621,17,413,1102
1271 - RAYMOND JAMES FINANCIAL INC.txt,8272,7235,1037,POSITIVE,3207,4348,-1141,NEGATIVE,1675,1752,1645,17,418,1119
1275 - REALOGY HOLDINGS CORP..txt,8394,7368,1026,POSITIVE,3241,4432,-1191,NEGATIVE,1706,1772,1671,17,422,1137
1276 - REALTY INCOME CORP.txt,8506,7458,1048,POSITIVE,3291,4492,-1201,NEGATIVE,1724,1795,1684,17,427,1150
1281 - REGENCY CENTERS CORP.txt,8599,7534,1065,POSITIVE,3325,4538,-1213,NEGATIVE,1747,1805,1711,17,432,1166
1286 - RETAIL OPPORTUNITY INVESTMENTS CORP.txt,8692,7597,1095,POSITIVE,3355,4566,-1211,NEGATIVE,1758,1821,1724,17,434,1176
1289 - REYNOLDS AMERICAN INC.txt,8829,7723,1106,POSITIVE,3403,4658,-1255,NEGATIVE,1788,1852,1760,18,439,1192
1290 - RIGEL PHARMACEUTICALS INC.txt,8948,7810,1138,POSITIVE,3439,4694,-1255,NEGATIVE,1810,1877,1775,19,447,1207
1293 - RLJ Lodging Trust.txt,9044,7884,1160,POSITIVE,3477,4722,-1245,NEGATIVE,1828,1891,1788,19,449,1221
1298 - ROGERS CORP.txt,9135,7960,1175,POSITIVE,3518,4760,-1242,NEGATIVE,1840,1905,1797,19,451,1234
1299 - ROLLINS INC.txt,9198,8013,1185,POSITIVE,3535,4794,-1259,NEGATIVE,1849,1919,1813,19,455,1246
