file,BL_P,BL_N,BL_NET,BL_SENTIMENT,M_P,M_N,M_NET,M_SENTIMENT,M_UNCERTAINTY,M_LITIGIOUS,M_CONSTRAINING,M_SUPERFLUOUS,M_INTERESTING,M_MODAL
550.txt,32598,28713,3885,POSITIVE,12301,16678,-4377,NEGATIVE,6460,7073,6376,102,1647,4471
563.txt,32670,28769,3901,POSITIVE,12318,16702,-4384,NEGATIVE,6468,7085,6387,102,1652,4481
565.txt,32802,28881,3921,POSITIVE,12371,16761,-4390,NEGATIVE,6485,7108,6405,104,1656,4495
573.txt,32860,28942,3918,POSITIVE,12395,16793,-4398,NEGATIVE,6496,7128,6430,104,1659,4506
579.txt,32923,29011,3912,POSITIVE,12411,16829,-4418,NEGATIVE,6506,7144,6443,105,1660,4517
580.txt,33005,29097,3908,POSITIVE,12444,16880,-4436,NEGATIVE,6526,7166,6464,105,1666,4528
586.txt,33023,29111,3912,POSITIVE,12450,16884,-4434,NEGATIVE,6528,7167,6464,105,1666,4528
600.txt,33117,29191,3926,POSITIVE,12483,16915,-4432,NEGATIVE,6549,7184,6484,105,1671,4541
603.txt,33170,29246,3924,POSITIVE,12505,16940,-4435,NEGATIVE,6556,7192,6495,106,1675,4546
605.txt,33258,29340,3918,POSITIVE,12539,17002,-4463,NEGATIVE,6567,7218,6512,107,1680,4556
608.txt,33313,29392,3921,POSITIVE,12555,17016,-4461,NEGATIVE,6579,7227,6524,107,1684,4564
610.txt,33397,29474,3923,POSITIVE,12584,17066,-4482,NEGATIVE,6599,7238,6540,107,1691,4575
611.txt,33519,29574,3945,POSITIVE,12639,17130,-4491,NEGATIVE,6617,7267,6560,108,1696,4590
628.txt,33581,29631,3950,POSITIVE,12663,17150,-4487,NEGATIVE,6631,7276,6573,108,1699,4598
632.txt,33687,29720,3967,POSITIVE,12697,17200,-4503,NEGATIVE,6653,7291,6594,108,1702,4612
634.txt,33781,29811,3970,POSITIVE,12733,17272,-4539,NEGATIVE,6679,7313,6615,108,1711,4628
636.txt,33931,29908,4023,POSITIVE,12800,17332,-4532,NEGATIVE,6706,7337,6633,108,1716,4647
641.txt,34036,30002,4034,POSITIVE,12840,17384,-4544,NEGATIVE,6723,7351,6652,108,1722,4662
642.txt,34105,30053,4052,POSITIVE,12862,17411,-4549,NEGATIVE,6741,7366,6661,108,1726,4677
648.txt,34217,30144,4073,POSITIVE,12908,17466,-4558,NEGATIVE,6769,7397,6684,109,1729,4694
654.txt,34229,30162,4067,POSITIVE,12909,17471,-4562,NEGATIVE,6773,7402,6687,109,1730,4696
657.txt,34320,30246,4074,POSITIVE,12945,17510,-4565,NEGATIVE,6789,7417,6702,109,1733,4706
667.txt,34418,30326,4092,POSITIVE,12983,17548,-4565,NEGATIVE,6805,7434,6721,109,1735,4721
671.txt,34427,30336,4091,POSITIVE,12984,17551,-4567,NEGATIVE,6805,7435,6721,109,1735,4722
684.txt,34533,30430,4103,POSITIVE,13016,17602,-4586,NEGATIVE,6824,7452,6737,109,1742,4737
687.txt,34617,30527,4090,POSITIVE,13045,17643,-4598,NEGATIVE,6840,7465,6756,109,1749,4748
"69-AMC ENTERTAINMENT HOLDINGS, INC..txt",34711,30635,4076,POSITIVE,13072,17711,-4639,NEGATIVE,6863,7502,6785,113,1757,4764
690.txt,34833,30736,4097,POSITIVE,13124,17770,-4646,NEGATIVE,6888,7524,6814,114,1762,4780
694.txt,34926,30811,4115,POSITIVE,13154,17807,-4653,NEGATIVE,6901,7546,6828,116,1766,4791
697.txt,35056,30931,4125,POSITIVE,13210,17883,-4673,NEGATIVE,6925,7570,6846,118,1776,4808
699.txt,35068,30945,4123,POSITIVE,13213,17886,-4673,NEGATIVE,6930,7570,6849,118,1776,4810
7-ABBOTT LABORATORIES.txt,35153,31029,4124,POSITIVE,13237,17918,-4681,NEGATIVE,6945,7586,6871,119,1778,4820
70-AMEREN CORP.txt,35239,31113,4126,POSITIVE,13266,17966,-4700,NEGATIVE,6966,7605,6886,119,1783,4837
701.txt,35309,31173,4136,POSITIVE,13290,17998,-4708,NEGATIVE,6983,7617,6898,120,1784,4848
703.txt,35378,31212,4166,POSITIVE,13316,18012,-4696,NEGATIVE,6994,7630,6904,120,1786,4858
704.txt,35477,31301,4176,POSITIVE,13348,18070,-4722,NEGATIVE,7025,7653,6931,120,1790,4873
705.txt,35590,31419,4171,POSITIVE,13387,18142,-4755,NEGATIVE,7050,7683,6959,121,1796,4891
708.txt,35681,31504,4177,POSITIVE,13418,18190,-4772,NEGATIVE,7071,7711,6983,121,1801,4904
709.txt,35795,31609,4186,POSITIVE,13456,18245,-4789,NEGATIVE,7094,7739,7009,121,1806,4919
71-AMERICAN AXLE _ MANUFACTURING HOLDINGS INC.txt,35891,31680,4211,POSITIVE,13499,18288,-4789,NEGATIVE,7109,7757,7034,121,1810,4930
710.txt,36021,31807,4214,POSITIVE,13546,18373,-4827,NEGATIVE,7143,7790,7055,121,1820,4948
713.txt,36097,31874,4223,POSITIVE,13573,18405,-4832,NEGATIVE,7158,7797,7069,121,1825,4959
718.txt,36165,31928,4237,POSITIVE,13589,18429,-4840,NEGATIVE,7173,7812,7086,121,1826,4971
724.txt,36253,32005,4248,POSITIVE,13623,18473,-4850,NEGATIVE,7193,7837,7101,121,1830,4987
727.txt,36296,32046,4250,POSITIVE,13637,18494,-4857,NEGATIVE,7202,7845,7109,121,1832,4996
729.txt,36404,32144,4260,POSITIVE,13675,18549,-4874,NEGATIVE,7217,7868,7126,122,1835,5010
734.txt,36477,32219,4258,POSITIVE,13701,18587,-4886,NEGATIVE,7232,7881,7146,122,1837,5022
735.txt,36564,32294,4270,POSITIVE,13727,18624,-4897,NEGATIVE,7247,7902,7160,122,1842,5033
736.txt,36685,32409,4276,POSITIVE,13769,18694,-4925,NEGATIVE,7285,7944,7180,123,1846,5048
738.txt,36687,32419,4268,POSITIVE,13771,18696,-4925,NEGATIVE,7285,7944,7180,123,1846,5048
74-AMERICAN CAMPUS COMMUNITIES INC.txt,36788,32483,4305,POSITIVE,13812,18738,-4926,NEGATIVE,7296,7956,7188,123,1852,5059
744.txt,36797,32499,4298,POSITIVE,13818,18747,-4929,NEGATIVE,7300,7957,7190,123,1852,5061
745.txt,36902,32584,4318,POSITIVE,13861,18799,-4938,NEGATIVE,7318,7972,7210,123,1860,5077
746.txt,37028,32694,4334,POSITIVE,13914,18864,-4950,NEGATIVE,7337,8003,7234,123,1868,5093
749.txt,37120,32770,4350,POSITIVE,13949,18907,-4958,NEGATIVE,7354,8024,7254,123,1871,5108
"75-AMERICAN CAPITAL, LTD.txt",37230,32880,4350,POSITIVE,13987,18972,-4985,NEGATIVE,7371,8055,7286,123,1875,5126
751.txt,37332,32975,4357,POSITIVE,14025,19021,-4996,NEGATIVE,7391,8073,7299,123,1879,5141
752.txt,37431,33062,4369,POSITIVE,14056,19081,-5025,NEGATIVE,7406,8097,7321,123,1884,5155
753.txt,37535,33148,4387,POSITIVE,14090,19138,-5048,NEGATIVE,7427,8118,7344,124,1889,5168
755.txt,37612,33208,4404,POSITIVE,14122,19171,-5049,NEGATIVE,7441,8127,7356,124,1892,5176
759.txt,37706,33298,4408,POSITIVE,14152,19213,-5061,NEGATIVE,7462,8154,7370,125,1896,5195
76-AMERICAN ELECTRIC POWER CO INC.txt,37798,33383,4415,POSITIVE,14187,19245,-5058,NEGATIVE,7479,8167,7392,127,1898,5211
761.txt,37929,33498,4431,POSITIVE,14235,19310,-5075,NEGATIVE,7504,8205,7423,128,1906,5227
767.txt,38040,33585,4455,POSITIVE,14275,19361,-5086,NEGATIVE,7528,8226,7436,128,1911,5240
770.txt,38090,33635,4455,POSITIVE,14289,19390,-5101,NEGATIVE,7538,8236,7444,128,1913,5248
771.txt,38296,33780,4516,POSITIVE,14378,19484,-5106,NEGATIVE,7569,8262,7469,128,1924,5267
772.txt,38440,33897,4543,POSITIVE,14441,19558,-5117,NEGATIVE,7591,8297,7494,128,1931,5285
773.txt,38482,33948,4534,POSITIVE,14451,19578,-5127,NEGATIVE,7602,8304,7504,128,1933,5291
774.txt,38611,34050,4561,POSITIVE,14504,19638,-5134,NEGATIVE,7627,8325,7532,128,1944,5309
781.txt,38711,34128,4583,POSITIVE,14538,19693,-5155,NEGATIVE,7645,8352,7555,128,1951,5321
783.txt,38811,34206,4605,POSITIVE,14572,19748,-5176,NEGATIVE,7663,8379,7578,128,1958,5333
784.txt,38909,34309,4600,POSITIVE,14616,19810,-5194,NEGATIVE,7688,8409,7597,128,1961,5351
786.txt,38911,34314,4597,POSITIVE,14618,19813,-5195,NEGATIVE,7688,8409,7597,128,1962,5351
788.txt,38999,34395,4604,POSITIVE,14648,19847,-5199,NEGATIVE,7708,8426,7619,129,1966,5366
791.txt,39140,34521,4619,POSITIVE,14704,19942,-5238,NEGATIVE,7740,8460,7660,129,1973,5387
794.txt,39239,34618,4621,POSITIVE,14731,19997,-5266,NEGATIVE,7765,8490,7682,129,1980,5401
806.txt,39340,34700,4640,POSITIVE,14772,20040,-5268,NEGATIVE,7784,8504,7699,129,1986,5412
808.txt,39431,34792,4639,POSITIVE,14800,20093,-5293,NEGATIVE,7801,8530,7721,129,1992,5425
813.txt,39511,34883,4628,POSITIVE,14831,20153,-5322,NEGATIVE,7811,8561,7744,130,1995,5435
815.txt,39601,34954,4647,POSITIVE,14865,20194,-5329,NEGATIVE,7828,8573,7751,130,1997,5450
819.txt,39702,35046,4656,POSITIVE,14896,20242,-5346,NEGATIVE,7845,8592,7769,131,2003,5463
820.txt,39816,35139,4677,POSITIVE,14951,20302,-5351,NEGATIVE,7872,8620,7787,131,2011,5476
822.txt,39840,35172,4668,POSITIVE,14960,20315,-5355,NEGATIVE,7880,8622,7790,131,2012,5482
824.txt,39849,35185,4664,POSITIVE,14961,20321,-5360,NEGATIVE,7882,8628,7794,131,2013,5483
827.txt,39917,35236,4681,POSITIVE,14987,20338,-5351,NEGATIVE,7891,8638,7800,131,2015,5491
829.txt,40046,35334,4712,POSITIVE,15046,20390,-5344,NEGATIVE,7910,8667,7823,132,2020,5507
83-AMERISERV FINANCIAL INC  PA.txt,40062,35359,4703,POSITIVE,15049,20406,-5357,NEGATIVE,7916,8669,7824,132,2020,5510
836.txt,40144,35421,4723,POSITIVE,15069,20433,-5364,NEGATIVE,7932,8682,7840,132,2024,5522
84-AMERISOURCEBERGEN CORP.txt,40244,35511,4733,POSITIVE,15112,20490,-5378,NEGATIVE,7946,8698,7856,132,2026,5536
840.txt,40270,35540,4730,POSITIVE,15120,20503,-5383,NEGATIVE,7956,8702,7865,132,2027,5541
844.txt,40332,35588,4744,POSITIVE,15138,20524,-5386,NEGATIVE,7968,8719,7874,132,2029,5551
846.txt,40456,35695,4761,POSITIVE,15188,20592,-5404,NEGATIVE,7995,8744,7902,132,2036,5568
850.txt,40551,35763,4788,POSITIVE,15225,20630,-5405,NEGATIVE,8010,8761,7919,133,2040,5583
855-LCNV CORP.txt,40624,35820,4804,POSITIVE,15252,20650,-5398,NEGATIVE,8020,8781,7926,134,2043,5594
859.txt,40736,35920,4816,POSITIVE,15304,20705,-5401,NEGATIVE,8041,8806,7942,134,2051,5610
864.txt,40804,35990,4814,POSITIVE,15325,20742,-5417,NEGATIVE,8058,8824,7961,134,2053,5621
866.txt,40915,36089,4826,POSITIVE,15377,20798,-5421,NEGATIVE,8089,8849,7981,135,2059,5636
867.txt,41033,36196,4837,POSITIVE,15424,20860,-5436,NEGATIVE,8118,8872,8000,135,2063,5655
"869-KINDER MORGAN, INC..txt",41109,36270,4839,POSITIVE,15449,20901,-5452,NEGATIVE,8136,8897,8012,135,2065,5669
870-KIRBY CORP.txt,41187,36341,4846,POSITIVE,15474,20932,-5458,NEGATIVE,8154,8916,8029,135,2068,5684
874-KONA GRILL INC.txt,41239,36393,4846,POSITIVE,15486,20953,-5467,NEGATIVE,8162,8924,8038,135,2070,5692
"876-Keysight Technologies, Inc..txt",41332,36488,4844,POSITIVE,15515,21008,-5493,NEGATIVE,8185,8938,8064,135,2077,5706
88-AMN HEALTHCARE SERVICES INC.txt,41440,36563,4877,POSITIVE,15559,21042,-5483,NEGATIVE,8209,8956,8079,135,2080,5720
887-LEAR CORP.txt,41549,36664,4885,POSITIVE,15602,21101,-5499,NEGATIVE,8231,8976,8102,136,2082,5734
"889-LEE ENTERPRISES, INC.txt",41631,36732,4899,POSITIVE,15630,21128,-5498,NEGATIVE,8241,8989,8110,136,2084,5744
890-LEGACY RESERVES LP.txt,41724,36806,4918,POSITIVE,15663,21185,-5522,NEGATIVE,8258,9013,8127,137,2088,5753
"893-LEXICON PHARMACEUTICALS, INC..txt",41787,36878,4909,POSITIVE,15689,21226,-5537,NEGATIVE,8273,9025,8140,137,2092,5760
896-LIBBEY INC.txt,41910,36999,4911,POSITIVE,15738,21310,-5572,NEGATIVE,8299,9058,8169,138,2098,5777
